id,title,body_len,T3_rank,T3_S_scale,T3_S_score
20169243,"

ভারতের সব ডিম এক ঝুড়িতে
",1508,1.0,1.0,100.0
20173420,"

ভারতের সব ডিম এক ঝুড়িতে
",1506,2.0,0.9986531986531987,99.86531986531986
20173252,"

রোজা নিয়ে মানুষ যেসব প্রশ্নের উত্তর জানতে চায়
",1455,3.0,0.9643097643097643,96.43097643097643
20170104,"

 রোজা শুরুর আগেই বাজারে দামের আতঙ্ক
",1417,4.0,0.9387205387205387,93.87205387205387
20169431,"

মেয়ের লাশ কবে হাতে পাবেন বাবা-মা
",1396,5.0,0.9245791245791246,92.45791245791246
20169288,"

সিয়াম সাধনা ও স্বাস্থ্য বিজ্ঞান
",1315,6.0,0.87003367003367,87.003367003367
20222875,"

সিয়াম সাধনা ও স্বাস্থ্য বিজ্ঞান
",1312,7.0,0.868013468013468,86.8013468013468
20169133,"
নির্বাচনী সহিংসতা 
দুই জেলায় আহত ২৭ জন
",1219,8.0,0.8053872053872054,80.53872053872054
20046727,বৃষ্টি খাতুনের ফ্যান্টাসি জগত,1181,9.0,0.7797979797979798,77.97979797979798
20169378,"

সাগরে তেল গ্যাসের জন্য আন্তর্জাতিক দরপত্র, কী করতে চাইছে সরকার?
",1023,10.0,0.6734006734006734,67.34006734006735
20169221,"

রাজধানীসহ দেশের বিভিন্ন স্থানে জামায়াতের বিক্ষোভ 
দ্রব্যমূল্য নিয়ন্ত্রণ ও রমজানের পবিত্রতা রক্ষার দাবি 
",1003,11.0,0.6599326599326599,65.993265993266
20046796,উপমহাদেশের রাজনীতি ক্রমশ জটিল হচ্ছে,979,12.0,0.6437710437710438,64.37710437710437
20046770,বকশীগঞ্জ ও ত্রিশালে পৌর মেয়র হলেন বিএনপি’র বহিষ্কৃত দুই নেতা,905,13.0,0.593939393939394,59.3939393939394
20168995,"

ভাসমান বন্দর নির্মাণে গাজার পথে মার্কিন জাহাজ
",889,14.0,0.5831649831649832,58.316498316498325
20051728,আগুনের উচ্চঝুঁকিতে মদের অর্ধশত বার,885,15.0,0.5804713804713805,58.04713804713805
20170022,"

মালয়েশিয়ায় কর্মী পাঠাতে খরচ কমবে এবার!
",885,15.0,0.5804713804713805,58.04713804713805
20046769,কোস্টগার্ডকে ত্রিমাত্রিক বাহিনী হিসেবে গড়ে তুলছে সরকার,858,17.0,0.5622895622895623,56.22895622895623
20051837,"নিত্যপণ্যের বাজার ঊর্ধ্বমুখী, রোজাদারদের জন্য সুখবর নেই ",842,18.0,0.5515151515151515,55.15151515151515
20169354,"
নদীর ওপর ঝুলছে সেতু 
১৫০ ফুট ধসে পড়ায় ব্যবহার হচ্ছে না সেতু
",832,19.0,0.5447811447811448,54.47811447811448
20169970,"

নির্বাচনের আগে মুসলিমবিরোধী নাগরিকত্ব আইন কার্যকর করল ভারত
",824,20.0,0.5393939393939394,53.939393939393945
20169104,"

আবারো ২০ বিলিয়ন ডলারের নিচে নামল রিজার্ভ
",817,21.0,0.5346801346801346,53.46801346801347
20169648,"

‘ইসলামী রাষ্ট্র প্রতিষ্ঠা ছাড়া সকল ক্ষেত্রে ইসলামের প্রতিটি নির্দেশনা সঠিকভাবে পালন করা সম্ভব হয় না’
",787,22.0,0.5144781144781144,51.44781144781144
20169709,"

‘অসহায় মানুষের মুখে হাসি ফুটিয়ে আমরা আল্লাহর সন্তুষ্টি অর্জন করতে চাই’
",776,23.0,0.5070707070707071,50.70707070707071
20046734,রমজানে লোডশেডিং নিয়ে দুশ্চিন্তা,761,24.0,0.49696969696969695,49.696969696969695
20051917,ওভার ইনভয়েসিং ৯০ শতাংশ কমেছে: গভর্নর,718,25.0,0.468013468013468,46.801346801346796
20051723,রোজার পণ্যমূল্য সুনির্দিষ্ট করার উদ্যোগ,709,26.0,0.46195286195286195,46.195286195286194
20169020,"

রমজানকে সাংগঠনিক মাস হিসেবে নেয়ার নির্দেশনা বিএনপির
",694,27.0,0.45185185185185184,45.18518518518518
20169003,"

নানা নাটকীয়তার পর সুপ্রিম কোর্ট বার নির্বাচনের ফল ঘোষণা 
",694,27.0,0.45185185185185184,45.18518518518518
20051725,সদাচরণের কারণেই টিটু আবারও মেয়র,687,29.0,0.4471380471380471,44.71380471380471
20046741,সাংবাদিকের কারাদণ্ড: তদন্ত করে ব্যবস্থা নেয়া হবে- তথ্য প্রতিমন্ত্রী,677,30.0,0.4404040404040404,44.04040404040404
20222871,"

 এক হাতে বোমা অন্য হাতে খাবার দিচ্ছেন বাইডেন
",668,31.0,0.43434343434343436,43.43434343434344
20169014,"

রাজধানীতে ভ্রাম্যমাণ গাড়িতে ৬০০ টাকায় গরুর গোশত 
",652,32.0,0.4235690235690236,42.35690235690236
20046804,আকস্মিক পদত্যাগ কমিশনারের ভারতে নির্বাচন কমিশনে শুধু সিইসি,644,33.0,0.41818181818181815,41.81818181818181
20169315,"

জেরুসালেমে ফিলিস্তিনিদের 'কালো রমজানের' শঙ্কা
",638,34.0,0.41414141414141414,41.41414141414141
20169059,"

সাফে ভারতকে হারিয়ে চ্যাম্পিয়ন বাংলাদেশ
",624,35.0,0.4047138047138047,40.47138047138047
20173306,"
আগুনে মারা যাওয়া সন্তানের বাবার আক্ষেপ 
বেইলি রোডে এখন এত নিরাপত্তা কেন
দায়ীদের বিচারের মুখোমুখি করা হবে : স্বরাষ্ট্রমন্ত্রী
",610,36.0,0.3952861952861953,39.52861952861953
20044794,বিশ্বের শীর্ষ পর্যায়ের ৫৫ কোম্পানিকে আমন্ত্রণ,603,37.0,0.39057239057239057,39.05723905723906
20173519,"

মুমিনের জীবনের মূল লক্ষ্য
",603,37.0,0.39057239057239057,39.05723905723906
20051722,ডিএসইতে স্মরণকালের সর্বোচ্চ আইটি বিপর্যয়,597,39.0,0.3865319865319865,38.65319865319865
20046773,"সভাপতিসহ ৪ পদে বিএনপি, সম্পাদকসহ ১০ পদে আওয়ামী লীগ জয়ী",575,40.0,0.3717171717171717,37.17171717171717
20046735,বেগুনের দামে লাফ,575,40.0,0.3717171717171717,37.17171717171717
20046772,সিলেটে হকার পুনর্বাসন শুরু,569,42.0,0.36767676767676766,36.76767676767677
20170015,"

নওয়াব ফয়জুন্নেছা সরকারি কলেজ অধ্যক্ষ ওএসডি : হিজাব নিয়ে কটুক্তি
",567,43.0,0.36632996632996634,36.63299663299664
20222888,"

রমজান নিত্যপণ্যের মূল্য নিয়ন্ত্রণে মাঠপ্রশাসনে কঠোর নির্দেশনা
",553,44.0,0.3569023569023569,35.69023569023569
20168803,"

দ্রব্যমূল্য বৃদ্ধির প্রতিবাদে ঢাবি সাদা দলের মানববন্ধন
",549,45.0,0.3542087542087542,35.42087542087542
20170048,"

ডিইউজে’র সভাপতি তপু-সোহেল, সম্পাদক আক্তার
",547,46.0,0.3528619528619529,35.28619528619529
20044777,চাকরি ছেড়েও রফি’র হয়রানি থেকে রেহাই পাচ্ছেন না প্রবাসীর স্ত্রী,546,47.0,0.35218855218855216,35.21885521885522
20169026,"

নতুন বাজেটে বিশেষ গুরুত্ব পাবে ৫ খাত
প্রাক-বাজেট আলোচনায় অর্থমন্ত্রী
",535,48.0,0.3447811447811448,34.47811447811448
20168978,"
সৌদিতে রমজান শুরু 
দক্ষিণ-পূর্ব এশিয়ায় মঙ্গলবার
",533,49.0,0.3434343434343434,34.34343434343434
20051775,ফিলিস্তিনিদের আল-আকসায় ঢুকতে দিচ্ছে না ইসরাইল,529,50.0,0.34074074074074073,34.074074074074076
20046744,‘ভেজালকারী ছোট হোক বড় হোক কাউকে ছাড় দেয়া হবে না’,525,51.0,0.33804713804713804,33.804713804713806
20168746,"

লবণ উৎপাদনে লক্ষ্যমাত্রা ছাড়িয়ে যাওয়ার আশা
",518,52.0,0.3333333333333333,33.33333333333333
20051746,রোজার আগের দিন চড়া দামে বিক্রি হচ্ছে লেবু বেগুন শসা,509,53.0,0.32727272727272727,32.72727272727273
20168896,"

বন্ধ হয়ে গেছে পাবনার ১৬ নদীর ৫২০ কিলোমিটার নৌপথ
",509,53.0,0.32727272727272727,32.72727272727273
20047127,ডর্মেটরিতে সমাজসেবা কর্মকর্তা মামুনের ‘মধুকুঞ্জ’,506,55.0,0.32525252525252524,32.525252525252526
20173408,"

একদিনেই পুঁজিবাজারে প্রায় ৭৫ হাজার কোটি টাকা নাই
",503,56.0,0.32323232323232326,32.323232323232325
20051854,জীবনে আর কখনও প্রেম আসবে না: পরীমনি,501,57.0,0.3218855218855219,32.18855218855219
20173175,"

অপারেশনকালে দুর্ঘটনা ঘটলে দায় হাসপাতাল ও চিকিৎসককে নিতে হবে : স্বাস্থ্যমন্ত্রী
",497,58.0,0.3191919191919192,31.91919191919192
20046739,"সিওমেকে ছাত্রলীগ ও কর্মচারীদের মধ্যে উত্তেজনা, বিক্ষোভ",496,59.0,0.31851851851851853,31.851851851851855
20173215,"

তারাবি নামাজের গুরুত্ব ও ফজিলত
",495,60.0,0.3178451178451178,31.784511784511782
20173333,"

 বাজারে লেবুর দাম বেড়ে যাওয়ার কারণ ব্যাখ্যা বাণিজ্যপ্রতিমন্ত্রীর
",493,61.0,0.3164983164983165,31.64983164983165
20051727,কোস্ট গার্ডকে ত্রিমাত্রিক বাহিনী হিসাবে গড়া হচ্ছে,486,62.0,0.3117845117845118,31.178451178451176
20051764,বিশ্বের সবচেয়ে ধনী ভিক্ষুকের সম্পদ সাড়ে ৭ কোটি রুপি,486,62.0,0.3117845117845118,31.178451178451176
20051669,দেশের যেসব অঞ্চলের মানুষ রোজা শুরু করেছেন,482,64.0,0.3090909090909091,30.909090909090907
20169414,"

নিউজিল্যান্ডকে হারিয়ে সিরিজ জয় অস্ট্রেলিয়ার
",477,65.0,0.30572390572390573,30.572390572390574
