id,title,body_len,T3_rank,T3_S_scale,T3_S_score
20045812,সিঁড়িই মৃত্যুকূপ,1855,1.0,1.0,100.0
20192017,"

কোনো ভবন নিরাপদ কি না বোঝা যাবে যে ১০টি বিষয় দেখে
",1834,2.0,0.9883333333333333,98.83333333333333
20191672,"

বাংলাদেশে কি জনপ্রিয় হয়ে উঠছে অডিওবুক?
",1502,3.0,0.8038888888888889,80.38888888888889
20191920,"

১০ সপ্তাহের ভুলের খেসারত আমাকে সারাজীবন দিতে হবে- অধ্যাপক ইউনূস
",1489,4.0,0.7966666666666666,79.66666666666666
20190952,"

বেইলি রোডে আগুনে ৪৬ লাশ
",1399,5.0,0.7466666666666667,74.66666666666667
20045816,মামা আমাকে বাঁচাও,1196,6.0,0.6338888888888888,63.388888888888886
20191195,"

গ্রিন কোজি কটেজ : রাজধানীতে আরেক মৃত্যুপুরী
",1086,7.0,0.5727777777777778,57.277777777777786
20191159,"

ভারত-চীন-মার্কিন চক্করে বাংলাদেশ
",1070,8.0,0.5638888888888889,56.388888888888886
20190510,"

ভারত-চীন-মার্কিন চক্করে বাংলাদেশ
",1069,9.0,0.5633333333333334,56.333333333333336
20191165,"

পাকিস্তানের নির্বাচন: কারচুপি ও অনুশোচনা
",1055,10.0,0.5555555555555556,55.55555555555556
20190527,"

পাকিস্তানের নির্বাচন: কারচুপি ও অনুশোচনা
",1053,11.0,0.5544444444444444,55.44444444444444
20188994,"

দাওয়াত হোক ইসলামের দিকে
",995,12.0,0.5222222222222223,52.22222222222223
20189031,"

আলেম তৈরিতে মাদরাসা শিক্ষকদের সচেষ্টতা
",991,13.0,0.52,52.0
20046964,বেইলি রোডে ভবনে ফায়ার এক্সিট না থাকায় ক্ষোভ প্রধানমন্ত্রীর,991,13.0,0.52,52.0
20191448,"

বিদ্যুতের দাম বাড়ায় মাসে বাড়তি কত টাকা গুণতে হবে?
",963,15.0,0.5044444444444445,50.44444444444445
20191576,"

গাজায় ত্রাণ নিতে আসা শতাধিক ফিলিস্তিনিকে হত্যা : ইসরাইলের দাবি কতটুকু সত্য
",950,16.0,0.49722222222222223,49.72222222222222
20045815,সপরিবারে যাওয়ার কথা ছিল ইতালি...,942,17.0,0.49277777777777776,49.27777777777778
20191794,"

বিদেশে হাজার হাজার কোটি টাকার সম্পদ : যা বললেন সাবেক ভূমিমন্ত্রী সাইফুজ্জামান
",917,18.0,0.47888888888888886,47.888888888888886
20191784,"

‘বর্তমান শিক্ষা ব্যবস্থা সংস্কার না হলে নতুন প্রজন্ম দিল্লির গোলাম হবে’
",896,19.0,0.4672222222222222,46.72222222222222
20191762,"

ত্রয়োদশ আন্তঃস্কুল বাংলা অলিম্পিয়াডে পুরস্কৃত দেড় শতাধিক শিক্ষার্থী
",844,20.0,0.43833333333333335,43.833333333333336
20191308,"

মিয়ানমার-বাংলাদেশ সীমান্তে পাহারা হচ্ছে কিভাবে
",828,21.0,0.42944444444444446,42.94444444444444
20190979,"
বাজার দর 
রোজার আগেই বেড়েছে মুদি পণ্য-মাছ গোশতের দাম
",785,22.0,0.40555555555555556,40.55555555555556
20046968,স্বামী-স্ত্রীর শিশু অপহরণ চক্রের অভিনব কৌশল,724,23.0,0.37166666666666665,37.166666666666664
20045813,‘লাশের’ কাছে খোলা চিঠি,706,24.0,0.3616666666666667,36.16666666666667
