word,weight
প্রশিক্ষণ,0.00045071754250347005
সংরক্ষিত,0.00045071754250346907
দিচ্ছেন,0.0004499408306607498
হয়নি,0.00044994083066074875
বিবি,0.00044917258232197137
বিচার,0.0004491725823219704
ডিজাইনের,0.00044856038820968903
আসন,0.000448560388209688
রাসেল,0.000448412721946831
সুষ্ঠু,0.00044841272194683004
লড়াইয়ে,0.0004476611744974136
ভুট্টোর,0.00044766117449741253
জিততেই,0.0004469178654521977
আলী,0.0004469178654521966
ফ্যাশন,0.00044640129561303863
পেয়ে,0.0004464012956130376
রিজভী,0.0004461827208173858
জুলফিকার,0.00044618272081738467
সরকার,0.0004454556671358472
পর্যবেক্ষণ,0.00044545566713584606
পারছে,0.0004447366314939326
কোর্টের,0.0004447366314939315
উদ্যোক্তাদের,0.0004442402423488346
পাকিস্তানের,0.0004442402423488337
আগুন,0.00044402554152639303
সুপ্রিম,0.0004440255415263919
নিয়ন্ত্রণ,0.00044332232541960945
পাকিস্তান,0.0004433223254196083
পারছে,0.00044262691191332296
সভা,0.00044262691191332177
নারী,0.00044207720577065657
একক,0.0004420772057706557
দ্রব্যমূল্য,0.00044193923030103066
কমিটির,0.00044193923030102947
নিয়ন্ত্রণ,0.0004412592104292003
বিনিয়োগ,0.0004412592104291993
যুদ্ধের,0.0004405867826954391
ইন্স্যুরেন্সের,0.000440586782695438
প্রস্তুতি,0.0004399218780457373
ইসলামী,0.0004399218780457362
শিরোনামে,0.0004399121629450139
বৃহত্তম,0.000439912162945013
নেয়ার,0.0004392644279708991
তাকাফুল,0.00043926442797089795
আহ্বান,0.0004386143645022566
খেলা,0.00043861436450225546
জানালেন,0.0004379716202067588
টাকার,0.0004379716202067577
বিশ্বব্যাপী,0.00043774509064587776
দল,0.0004377450906458769
ভারতের,0.0004373361281815123
চলছে,0.0004373361281815111
প্রতিরক্ষামন্ত্রী,0.0004367078220478488
মুহূর্তে,0.00043670782204784764
দেশে,0.0004360866359449816
শেষ,0.0004360866359449805
পার্টি,0.0004355759653490736
পিএমএল,0.00043557596534907265
প্রথমবারের,0.00043547250452331083
তুঙ্গে,0.0004354725045233098
ওয়াইল্ড,0.0004348653629374292
প্রচারণা,0.00043486536293742815
লাইফ,0.0004342651468388749
প্রচার,0.0004342651468388738
অলিম্পিয়াড,0.0004336717923686747
বালুচর,0.00043367179236867355
ওয়েডিং,0.00043340476322652985
এন,0.00043340476322652893
প্রথমবারের,0.0004330852361497147
ধু,0.0004330852361497135
খেজুর,0.00043250541527897236
ধু,0.0004325054152789713
বিক্রি,0.0004319322673196421
যমুনা,0.000431932267319641
টিসিবি,0.00043136573029317843
আগ্রাসী,0.00043136573029317735
প্রি,0.00043123146014037954
হুয়াওয়ে,0.00043123146014037867
ইভ্যালির,0.0004308057426712856
বিতর্ক,0.00043080574267128453
রাসেল,0.0004302522433678713
আউট,0.0004302522433678703
শামীমার,0.00042970517173098697
সৌম্য,0.000429705171730986
সম্পত্তি,0.0004291644675347708
আলপি,0.00042916446753476974
আম্বানির,0.0004290560316369076
সিডস,0.0004290560316369067
ক্রোকের,0.0004286300709714089
শিরোপা,0.00042863007097140794
নির্দেশ,0.0004281019226431294
দেবো,0.0004281019226431284
মিস,0.00042757996355423974
ভবিষ্যতে,0.00042757996355423876
ওয়ার্ল্ড,0.0004270641351032205
অবমাননা,0.00042706413510321947
অনন্ত,0.0004268784529403417
ফর,0.0004268784529403409
প্রতিযোগিতার,0.00042655437907488286
আদালত,0.0004265543790748819
ফাইনালে,0.00042605063763259964
নুর,0.00042605063763259866
বাংলাদেশের,0.0004255528533106164
ভিপি,0.00042555285331061547
নীলি,0.0004250609690064488
হাইকোর্টে,0.00042506096900644784
মেট্রো,0.0004246986989464792
দ্য,0.00042469869894647843
ঐতিহাসিক,0.000424574927973373
সভা,0.000424574927973372
৭ই,0.00042409467381301154
৬৬তম,0.0004240946738130106
মার্চে,0.00042362015046802106
কমিটির,0.00042362015046802003
বঙ্গবন্ধুর,0.0004231513022148835
নির্বাহী,0.0004231513022148826
স্মৃতির,0.00042268807365680483
বোর্ড,0.0004226880736568039
হয়ে,0.0004225167442161465
ফিউচার,0.0004225167442161457
