id,title,T4_title_weight,T4_rank,T4_S_scale,T4_S_score
20182348,"
 রাজপথে মৃত্যুর হানা 
বাঁশখালীতে এসএসসি পরীক্ষা দিয়ে ফেরার পথে নিহত ১, আহত ৬
	অন্যান্য স্থানে প্রাণ গেল আরো ৩ জনের
",0.008061315074276699,1.0,1.0000000000000002,100.00000000000003
20177870,"

মুলাদীতে দুই গ্রুপের দ্বন্দ্বে ২৫ বছরে ২৮ খুন, ৯৩৪ মামলা
তিন জেলার পুলিশের উপস্থিতিতে সমঝোতার উদ্যোগ ব্যর্থ
",0.0074661689220704005,2.0,0.9216364362838805,92.16364362838804
20178186,"

আইএমএফের ফর্মুলায় পৌনে দুই ভাগ কমলো জ্বালানি তেলের দাম
	দেড় বছর আগে বাড়ানো হয়েছিল ৪২ শতাংশ
",0.0065328978068116,3.0,0.7987515781126964,79.87515781126963
20182360,"

সুপ্রিম কোর্ট বার নির্বাচনে ভোট গ্রহণ শেষ, রাতেই গণনা   
৫,৩১৯ জন আইনজীবীর ভোট প্রদান
",0.0063114646651064,4.0,0.7695952271146291,76.95952271146291
20177646,"

টেকনো ড্রাগস পুঁজিবাজার থেকে এক শ’ কোটি টাকা তুলবে
আসছে এম কে পাওয়ারের ৫৫ কোটি টাকার বন্ড
",0.0060662622491822,5.0,0.7373091490271043,73.73091490271044
20177922,"
 	তিন মাসে শতাধিক ফোন উদ্ধার  
গোপন ছবি-ভিডিও মোবাইল ফোনে না রাখার অনুরোধ সিআইডির
",0.005969560323443201,6.0,0.7245762976240884,72.45762976240884
20177602,"
২০১৯ সালে অঞ্চলটির স্বায়ত্তশাসন ও বিশেষ মর্যাদা বাতিল করা হয় 
স্বায়ত্তশাসন বাতিলের পর প্রথমবার কাশ্মির সফরে মোদি
",0.0055996266915528,7.0,0.6758667199415124,67.58667199415123
20182270,"

‘যাকাত ভিত্তিক সমাজব্যবস্থা প্রতিষ্ঠার মধ্যেই আর্ত-মানবতার অর্থনৈতিক মুক্তি রয়েছে’ : অধ্যাপক মুজিবুর রহমান
",0.0054934775366856006,8.0,0.6618899412460422,66.18899412460422
20177968,"
	৮১ লাখ টাকার কমিশন বাণিজ্য 
ফার্স্ট ফাইন্যান্সের ৭ কর্মকর্তার বিরুদ্ধে দুদকের চার্জশিট
",0.0054808624542741005,9.0,0.6602288991462606,66.02288991462606
20182313,"

 অস্থির চিনির বাজার
বাজারে কৃত্রিম সঙ্কট : দুই দিনে মণপ্রতি বেড়েছে ১৭০ টাকা
",0.0052098408561725,10.0,0.6245431802811617,62.45431802811618
20177925,"

নারায়ণগঞ্জের ট্রেনের যাত্রীরা ছুটছেন বাসে
	পদ্মা রেলসেতুর কাজ গেন্ডারিয়ায় পরিপূর্ণ শেষ হয়নি
",0.0051329911339234,11.0,0.6144242908559203,61.44242908559203
20178065,"
	ইফার বোর্ড অব গভর্নরসের সভা 
ঈদে মিলাদুন্নবী পালনের সময় কমানোর আহ্বান 
",0.0051329911339234,11.0,0.6144242908559203,61.44242908559203
20177975,"

৭ মার্চ অস্বীকারকারীরা স্বাধীনতায় বিশ্বাস করে কি না সন্দেহ : পররাষ্ট্রমন্ত্রী 
চেতনাকে এগিয়ে নিতে হবে : তথ্য প্রতিমন্ত্রী
",0.0050417556309772,13.0,0.6024112094946575,60.24112094946575
20182221,"

চৌগাছায় কৃষকের দেড় বিঘা জমির পটল গাছ কেটে দিয়েছে দুর্বৃত্তরা
",0.0046671753600961005,14.0,0.5530898036262425,55.30898036262425
20046869,"মালদ্বীপের মতো ভারত-বিরোধী প্রচার বাংলাদেশেও, নেপথ্যে কি অন্য রাষ্ট্রের ইন্ধন, কী ভাবছে নয়াদিল্লি?",0.004666355576294,15.0,0.5529818617703283,55.298186177032825
