word,weight
দিবসে,0.00034034806668783687
মালয়েশিয়ার,0.0003403480666878365
নারী,0.00033960807908926317
শ্রমবাজার,0.0003396080790892629
ক্রিস্টিনা,0.0003388796431704305
বিদেশ,0.0003388796431704301
সম্মাননায়,0.00033876292445637765
বন্ধ,0.00033876292445637733
বিশ্বসুন্দরী,0.00033816248705912885
পারবেন,0.00033816248705912847
প্রজাতন্ত্রের,0.000337456348357189
ড.,0.00033745634835718856
ভূষিত,0.00033717769081109076
জন্যই,0.00033717769081109043
চেক,0.000336760973705931
মুহাম্মদ,0.0003367609737059306
দিচ্ছেন,0.00033607611837621073
ইউনূস,0.00033607611837621024
হলেন,0.0003355923115000519
শ্রমিকদের,0.0003355923115000515
ছড়িয়ে,0.000335401545881413
আদালত,0.00033540154588141254
উদ্যোগকে,0.00033473702761187166
হুন্ডির,0.00033473702761187117
নারীরা,0.00033408234248930783
জড়িত,0.0003340823424893074
প্রগতির,0.0003340067315712284
বাংলাদেশি,0.0003340067315712281
টিকটকের,0.0003334372766399894
হিসাব,0.000333437276639989
বাক্কো,0.00033280162308540817
প্রতিদিন,0.0003328016230854077
পথে,0.00033242089535878976
ক্রিস্টিনা,0.00033242089535878943
করল,0.000332175181449361
বন্ধ,0.00033217518144936057
উদযাপন,0.0003315577576804048
গভর্নর,0.00033155775768040427
অবদান,0.00033094916378872654
বাঙলা,0.000330949163788726
নারী’সম্মানায়,0.0003308347464690563
স্বাস্থ্য,0.000330834746469056
নারীর,0.0003303492175965416
কলেজ,0.00033034921759654106
শিল্পে,0.0003297577425011945
ডিবেটিং,0.0003297577425011939
ভূষিত,0.00032924822776607713
মানসিক,0.0003292482277660768
বিপিও,0.0003291745672501951
সোসাইটির,0.0003291745672501945
অস্থিরতার,0.00032859952572747723
নেতৃত্বে,0.00032859952572747664
চরমে,0.00032803245675021384
সাকিব,0.00032803245675021325
সাবিলা,0.0003276612813568214
মাহি,0.000327661281356821
বৈষম্য,0.00032747320387557224
রোকন,0.0003274732038755716
আর্থসামাজিক,0.00032692161521682945
সাংবাদিক,0.00032692161521682874
দেশে,0.00032637754326831123
কাওসারকে,0.00032637754326831053
নূর,0.0003260738485759734
মনোযোগী,0.000326073848575973
থাকছে,0.0003258408447386513
কৃষি,0.0003258408447386506
হয়ে,0.0003253113803919014
মন্ত্রণালয়ের,0.00032531138039190065
কথা,0.0003247890148960528
তলবে,0.000324789014896052
৪০০,0.00032448586997031503
আসছে,0.0003244858699703147
কথার,0.00032427361667855894
ডিআরইউ’র,0.0003242736166785582
কেবলই,0.00032376505778847534
নিন্দা,0.0003237650577884746
প্রতিশ্রুতি,0.00032326321376485484
অধ্যাপক,0.0003232632137648541
পর্বে,0.0003228972852826838
ছবি,0.0003228972852826835
নামানোর,0.0003227679635110634
ডা.,0.00032276796351106266
শূন্যে,0.0003222791891746981
দীন,0.0003222791891746973
হত্যা,0.0003217967760328113
মো.,0.0003217967760328105
সীমান্ত,0.00032132061238216233
নূরুল,0.0003213206123821616
চিটার,0.0003213080334354903
তৃতীয়,0.00032130803343548997
কারা,0.00032085058943423495
হককে,0.0003208505894342342
কুরআন,0.000320386601214774
বিএসএমএমইউ’র,0.00032038660121477326
আহলে,0.0003199285444676107
ভিসি,0.00031992854446760997
অ্যান্ড,0.0003197180525137802
কাজলরেখা,0.00031971805251377987
লক্ষ্য,0.0003194763185625587
নিয়োগ,0.00031947631856255797
মূল,0.0003190298254071758
দিয়ে,0.00031902982540717503
জীবনের,0.0003185889693621987
প্রজ্ঞাপন,0.00031858896936219795
মুমিনের,0.0003181536571604684
জারি,0.00031815365716046775
জেন্টলম্যান,0.0003181272797478259
সেলিমের,0.0003181272797478256
বিশ্বাস,0.0003177237978291759
বিশ্বের,0.00031772379782917524
আল্লাহর,0.0003172993026152651
শীর্ষ,0.00031729930261526444
প্রশ্নোত্তর,0.0003168800849138418
পর্যায়ের,0.0003168800849138411
এক,0.0003165356514952301
উদ্দিন,0.00031653565149522973
কথা,0.00031646606019944363
৫৫,0.000316466060199443
হাদিসের,0.0003160571459600354
কোম্পানিকে,0.00031605714596003476
বাণী,0.0003156532616336011
আমন্ত্রণ,0.0003156532616336005
কুরআনের,0.0003152543285472114
