id,website_id,title,T2_S_score,T2_rank
20051902,2281,ভারতকে হারিয়ে চ্যাম্পিয়নদের ঘরে ফেরা,94.87179487,1.0
20051748,2281,রমজান মাসজুড়ে কেমন থাকবে আবহাওয়া,94.87179487,1.0
20051754,2281,অবশেষে সাংবাদিক বৃষ্টির লাশ বুঝে পেল পরিবার,94.87179487,1.0
20051753,2281,"রোজায় স্কুল বন্ধ রাখার আদেশ বহাল, আপিল শুনানি কাল",94.87179487,1.0
20051752,2281,ভোট দেখতে বুধবার রাশিয়া যাচ্ছেন সিইসি,94.87179487,1.0
20051751,2281,"ড. ইউনূস বিদেশ যেতে পারবেন কিনা, সিদ্ধান্ত দিলেন আদালত",94.87179487,1.0
20051750,2281,পাবনাতেই হবে দ্বিতীয় পরমাণু বিদ্যুৎকেন্দ্র: প্রধানমন্ত্রী,94.87179487,1.0
20051749,2281,বঙ্গবন্ধু সংক্রান্ত গোপন নথি প্রকাশ: প্রধানমন্ত্রীর সঙ্গে এসবি কর্মকর্তাদের সাক্ষাৎ,94.87179487,1.0
20051747,2281,জাতীয় প্রেসক্লাবে ইহসানুল করিমের জানাজা অনুষ্ঠিত,94.87179487,1.0
20051756,2281,উপজেলা পরিষদ নির্বাচন: ভোটকেন্দ্র ২৫ মার্চের মধ্যে চূড়ান্তের নির্দেশনা,94.87179487,1.0
20051746,2281,রোজার আগের দিন চড়া দামে বিক্রি হচ্ছে লেবু বেগুন শসা,94.87179487,1.0
20051745,2281,গাজায় নৃশংসতা: বিশ্ব সম্প্রদায়ের প্রতি যে আহ্বান সৌদি বাদশাহর,94.87179487,1.0
20051744,2281,ইউক্রেনকে ‘সাদা পতাকা’ প্রদর্শন করতে বলায় কঠোর সমালোচনার মুখে পোপ,94.87179487,1.0
20051743,2281,ডিইউজের নির্বাচনে ভোটগ্রহণ চলছে,94.87179487,1.0
20051742,2281,ফিলিস্তিনিদের তারাবিতেও বাধা ইসরাইলের,94.87179487,1.0
20051741,2281,যুদ্ধবিরতি নিয়ে সর্বশেষ যা জানালেন হামাসপ্রধান হানিয়া,94.87179487,1.0
20051755,2281,ব্যবসা করতে হলে দেশের আইন মেনে করতে হবে: বাণিজ্য প্রতিমন্ত্রী,94.87179487,1.0
20051757,2281,সারা দেশে টিভি সম্প্রচার বন্ধের ঘোষণা থেকে সরে এলো কোয়াব,94.87179487,1.0
20051739,2281,এখন পাসপোর্ট ছাড়াই যাওয়া যাবে সৌদি আরবে,94.87179487,1.0
20051767,2281,ভারতে বিতর্কিত নাগরিকত্ব সংশোধনী আইন কার্যকর,94.87179487,1.0
20051773,2281,জাপানে শত শত দামি ঘড়ির হদিস নেই,94.87179487,1.0
20051772,2281,দক্ষিণ কোরিয়ার হাসপাতালে সামরিক চিকিৎসক মোতায়েন,94.87179487,1.0
20051771,2281,পাকিস্তানে ১৯ সদস্যের নতুন মন্ত্রিসভা,94.87179487,1.0
20051770,2281,এবার সাদাকালো জেরুজালেমের রমজান,94.87179487,1.0
20051769,2281,পাল্লা দিয়ে গোলাবারুদ তৈরি করছে রাশিয়া,94.87179487,1.0
20051768,2281,"নিউজিল্যান্ডের একটি ফ্লাইটে ‘যান্ত্রিক ত্রুটি’, আহত ৫০",94.87179487,1.0
20051766,2281,গাজা ইস্যুতে বাইডেনের বক্তব্য প্রত্যাখ্যান নেতানিয়াহুর,94.87179487,1.0
20051758,2281,ফুলেল শুভেচ্ছায় চিরবিদায়,94.87179487,1.0
20051765,2281,এবার বাইডেনকে গালি রাশিয়ার সাবেক প্রেসিডেন্টের,94.87179487,1.0
20051764,2281,বিশ্বের সবচেয়ে ধনী ভিক্ষুকের সম্পদ সাড়ে ৭ কোটি রুপি,94.87179487,1.0
20051763,2281,গাজা ইস্যুতে রমজানের শুভেচ্ছাবার্তায় যা বললেন বাইডেন,94.87179487,1.0
20051762,2281,এবার বিজেপির বিচার হবে: মমতা,94.87179487,1.0
20051761,2281,"৪৭-এ দেশভাগের সময় বিচ্ছিন্ন, দুই বন্ধুর আবেগঘন পুনর্মিলনের ভিডিও ভাইরাল",94.87179487,1.0
20051759,2281,"দেশের আকাশে চাঁদ দেখা গেছে, কাল থেকে রোজা শুরু",94.87179487,1.0
20051740,2281,কেন হাজার হাজার টন আঙুর ধ্বংস করছে অস্ট্রেলিয়া,94.87179487,1.0
20051738,2281,"১৫৩ যাত্রী নিয়ে মাঝ আকাশে ঘুমিয়ে পড়েন দুই পাইলট, অতঃপর...",94.87179487,1.0
20051776,2281,ওডেসায় ১৫ রুশ ড্রোন ভূপাতিত করেছে ইউক্রেন,94.87179487,1.0
20051654,2281,পর্তুগালের জাতীয় নির্বাচনে ডানপন্থিদের জয়,94.87179487,1.0
