id,website_id,title,T2_S_score,T2_rank
20032843,2276,আজ টিভিতে যা দেখবেন (৫ মার্চ ২০২৪),100.0,1.0
20046205,2268,৬ই মার্চ ‘বাংলা সংগীত উৎসব’,84.61538462,2.0
20046203,2268,নিয়মিত হচ্ছেন মিষ্টি জান্নাত,84.61538462,2.0
20046202,2268,দীপিকার কাণ্ড!,84.61538462,2.0
20046201,2268,বিচ্ছেদ নিয়ে মুখ খুললেন জয়া,84.61538462,2.0
20046200,2268,মানিকগঞ্জে নিখোঁজের দু’দিন পর স্কুলছাত্রীর লাশ উদ্ধার,84.61538462,2.0
20046199,2268,বঙ্গবন্ধু বিশ্ববিদ্যালয়ে নবীনবরণ ও পুরস্কার বিতরণী,84.61538462,2.0
20046198,2268,গোপালপুরে আগুনে পুড়ে নিঃস্ব ৬ পরিবার,84.61538462,2.0
20046197,2268,কাশিমপুরে অস্ত্রের মুখে জিম্মি করে ডাকাতি,84.61538462,2.0
20046196,2268,"গাজীপুরে অটোরিকশা চালক খুন, আহত দুই",84.61538462,2.0
20046195,2268,"শ্রীপুরে সড়কে গাছ ফেলে ডাকাতি দুই পুলিশ আহত, ডাকাত আটক",84.61538462,2.0
20046194,2268,সিরাজগঞ্জে স্ত্রীসহ ভূমি কর্মকর্তার বিরুদ্ধে দুদকের ২টি মামলা,84.61538462,2.0
20046193,2268,"কালিয়াকৈরে গার্মেন্টস মালিক অপহরণ ও টাকা লুট, এক মাসেও কেউ গ্রেপ্তার হয়নি",84.61538462,2.0
20046192,2268,এবারো রমজানে ১০ টাকা লিটার দুধ বিক্রি করবেন এরশাদ উদ্দিন,84.61538462,2.0
20046191,2268,মাওলানা লুৎফর রহমানের জানাজায় মানুষের ঢল,84.61538462,2.0
20046190,2268,সড়ক দুর্ঘটনায় মুন্নু মেডিকেলের চিকিৎসক শাখাওয়াত হোসেনের মৃত্যু,84.61538462,2.0
20046189,2268,পাকুন্দিয়ায় ১০৫ পিস ইয়াবা ট্যাবলেটসহ যুবক গ্রেপ্তার,84.61538462,2.0
20046188,2268,সিলেটে হোটেল থেকে ১২ নারী-পুরুষ গ্রেপ্তার,84.61538462,2.0
20046187,2268,সিলেটে গ্যাস-বিদ্যুৎ গ্রাহক কল্যাণ পরিষদ কেন্দ্রীয় কমিটির নাগরিক মিছিল,84.61538462,2.0
20046186,2268,"হিলি স্থলবন্দর পরিদর্শন সেনা, নৌ ও বিমান বাহিনীর ২৬ কর্মকর্তার",84.61538462,2.0
20046185,2268,ক্যাপাসিটি চার্জের নামে লাখ লাখ কোটি টাকা লুটপাট করা হয়েছে- রুহিন হোসেন প্রিন্স,84.61538462,2.0
20046184,2268,নড়াইলে সড়ক দুর্ঘটনায় নিহত ১,84.61538462,2.0
20046183,2268,"ফটিকছড়িতে যুবককে ডেকে নিয়ে মারধর, ৫ দিন পর মৃত্যু",84.61538462,2.0
20046182,2268,বেইলি রোডে অগ্নিকাণ্ডে হতাহতদের পর্যাপ্ত ক্ষতিপূরণ দিতে হাইকোর্টের রুল,84.61538462,2.0
20046181,2268,"চরমোনাই মাহফিলে এসে যুবক নিখোঁজ, ৩ দিন পর লাশ উদ্ধার",84.61538462,2.0
20046180,2268,শিবচরে এক্সপ্রেসওয়েতে বাসচাপায় মোটরসাইকেল আরোহীর মৃত্যু,84.61538462,2.0
20046179,2268,নোয়াখালী প্রেস ক্লাবের সীমানা প্রাচীর ও প্রধান ফটক উদ্বোধনে মেয়র সোহেল,84.61538462,2.0
20046178,2268,চট্টগ্রামে এবার এস আলমের চিনি কলে আগুন,84.61538462,2.0
20046177,2268,যশোরে মসজিদ কমিটির সভাপতির বিরুদ্ধে ১৮ লাখ টাকা আত্মসাতের অভিযোগ!,84.61538462,2.0
20046176,2268,ছোট পর্দায় আজকের খেলা,84.61538462,2.0
20046175,2268,ডার্বিতে হেরেও আশাবাদী ইউনাইটেড কোচ,84.61538462,2.0
20046204,2268,শুভ-পূর্ণতা জুটির নতুন গান,84.61538462,2.0
20046206,2268,প্রতিবাদ করলেন রিচা,84.61538462,2.0
20046173,2268,‘ফুটবলে মানুষ কিছু মনে রাখে না’,84.61538462,2.0
20046208,2268,যে কারণে দুবাই গেলেন মিমি,84.61538462,2.0
20044884,2268,মজনুসহ কারামুক্ত নেতাকর্মীদের শুভেচ্ছাবিনিময়,84.61538462,2.0
20047173,2268,"টাইগারদের সাদামাটা বোলিং, শ্রীলঙ্কার রেকর্ড",84.61538462,2.0
20047172,2268,কারও অধীনে আর কাজ করতে চান না সালাহউদ্দিন,84.61538462,2.0
20047132,2268,ফেসবুক-ইনস্টাগ্রাম সচল হয়েছে,84.61538462,2.0
20047111,2268,দ্য হান্ড্রেডের ড্রাফটে সাকিব-তামিমসহ ১৬ বাংলাদেশি,84.61538462,2.0
20047110,2268,চার মাস পর কারামুক্ত হলেন বিএনপি নেতা দুদু,84.61538462,2.0
20047109,2268,সব হত্যার বিচার করা হবে: মির্জা আব্বাস,84.61538462,2.0
20046922,2268,আন্দোলনে নিহত রশীদের পরিবারের দায়িত্ব নিলো বিএনপি,84.61538462,2.0
20046921,2268,স্বল্পোন্নত থেকে উন্নয়নশীল দেশগুলো পণ্যের শুল্ক ও কোটামুক্ত বাজারে প্রবেশের অধিকার পাবে,84.61538462,2.0
20046920,2268,ক্ষমতা ছেড়ে দিয়ে নির্বাচনের ঘোষণা দিন,84.61538462,2.0
20046919,2268,দেশের ২৪ শতাংশ বাসের ফিটনেস নেই,84.61538462,2.0
20046918,2268,জিম্বাবুয়ের প্রেসিডেন্টের ওপর যুক্তরাষ্ট্রের নিষেধাজ্ঞা,84.61538462,2.0
20046917,2268,গোল বন্যার ম্যাচে আর্সেনালের রেকর্ড গড়া জয়,84.61538462,2.0
20046916,2268,বিজিবি’কে বিশ্বমানের চৌকস বাহিনী হিসেবে গড়ে তুলবো: প্রধানমন্ত্রী,84.61538462,2.0
20046915,2268,চাঁপাইনবাবগঞ্জ-সোনামসজিদ মহাসড়কে বাড়ছে লাশের মিছিল,84.61538462,2.0
20046914,2268,আন্দোলন ক্রমেই বেগবান হবে: ফারুক,84.61538462,2.0
20046913,2268,গাজীপুরের প্রিন্সিপাল ইকবাল সিদ্দিকীর প্রথম মৃত্যুবার্ষিকীতে কাদের সিদ্দিকী,84.61538462,2.0
20046912,2268,ফিফা’র দ্বারস্থ জামাল,84.61538462,2.0
20046911,2268,ক্ষেতলালে ৩ ডাকাত সদস্য আটক,84.61538462,2.0
20046910,2268,"বিলবাওয়ে পয়েন্ট খুইয়ে জাভি বললেন, ‘দিনটি দুঃখের’",84.61538462,2.0
20046909,2268,‘বাংলাদেশিদের জন্য অন অ্যারাইভাল ভিসা চালুর কাজ করছে ভারত’,84.61538462,2.0
20046908,2268,গঙ্গাচড়ায় গৃহবধূর লাশ উদ্ধার,84.61538462,2.0
20046907,2268,দক্ষিণ আফ্রিকায় বাংলাদেশি দম্পতিকে গুলি করে হত্যা,84.61538462,2.0
20046906,2268,ইন্ডিয়ান আইডল হলেন বৈভব,84.61538462,2.0
20046213,2268,উত্তরার এভেরোজ ইন্টারন্যাশনাল স্কুলে বার্ষিক ক্রীড়া প্রতিযোগিতা ও বীর মুক্তিযোদ্ধাদের সংবর্ধনা অনুষ্ঠান অনুষ্ঠিত,84.61538462,2.0
20046212,2268,যে ১১টি অভ্যাস মস্তিষ্কের ১২টা বাজাচ্ছে,84.61538462,2.0
20046211,2268,"মাঝ আকাশে 'স্কাই বেবির' জন্ম, সহায়তার হাত বাড়িয়ে দিলেন পাইলট",84.61538462,2.0
20046210,2268,ভি সিরিজের নতুন স্মার্টফোন এনেছে ভিভো,84.61538462,2.0
20046209,2268,বেলজিয়ামে জিহাদি হামলার পরিকল্পনা চার সন্দেহভাজন কিশোরকে গ্রেপ্তার,84.61538462,2.0
20046174,2268,পিএসজি সমর্থকদের হুমকি এমবাপ্পেকে,84.61538462,2.0
20046207,2268,নারী দিবসে ‘ক্রিমিনালস্‌’,84.61538462,2.0
20046172,2268,দ্রুততম ‘৫০০’ মেসির,84.61538462,2.0
20046140,2268,১৪ দিন যানজট থাকবে উত্তরায়,84.61538462,2.0
20046138,2268,সৌদি আরবের উসমান বিন আফফান মসজিদে ১২০০ বছরের পুরনো স্থাপত্য উন্মোচন,84.61538462,2.0
20046137,2268,এখনও পুরোপুরি নেভেনি এস আলম চিনি কলের আগুন,84.61538462,2.0
20046136,2268,"জামিন নামঞ্জুর, মেজর হাফিজকে কারাগারে পাঠানোর নির্দেশ",84.61538462,2.0
20046135,2268,বোমাতঙ্কের ভুয়া মেইল পাঠিয়ে দিল্লি পুলিশের জালে বাংলাদেশের বাসিন্দা,84.61538462,2.0
20046134,2268,নবাবী ভোজ সিলগালা,84.61538462,2.0
20046133,2268,৪২০ কোটি টাকা ফেরত পাবেন ইউনিপে টু ইউ’র গ্রাহকরা : আপিল বিভাগ,84.61538462,2.0
20046132,2268,মা হারালেন বাপ্পী চৌধুরী,84.61538462,2.0
20046131,2268,অভিযানের নামে সারা ঢাকা শহরের রেস্তোরাঁগুলোতে তাণ্ডব চলছে,84.61538462,2.0
20046130,2268,শিক্ষকের শাস্তির দাবিতে উত্তাল মনসুর আলী কলেজ,84.61538462,2.0
20046129,2268,কমছে কি জ্বালানি তেলের দাম?,84.61538462,2.0
20046128,2268,মানি লন্ডারিং মামলায় ঢাকা টাইমস সম্পাদক কারাগারে,84.61538462,2.0
20046127,2268,যুক্তরাষ্ট্রের 'ইন্টারন্যাশনাল উইমেন অফ কারেজ অ্যাওয়ার্ড' পেলেন বাংলাদেশের ফৌজিয়া করিম,84.61538462,2.0
20046126,2268,"ড. ইউনূসের আতিথেয়তা করে সম্মানিত পিটার হাস, তার বিরুদ্ধে মামলা নিয়ে উদ্বেগ",84.61538462,2.0
20046124,2268,ব্যালট থেকে ট্রাম্পকে বাদ দিতে পারবে না কোনো রাজ্য: সুপ্রিম কোর্ট,84.61538462,2.0
20044898,2268,অ্যাপলকে দুই বিলিয়ন ডলারের বড় জরিমানা করলো ইউরোপীয় ইউনিয়ন,84.61538462,2.0
20044897,2268,দুবাই গেলেন আইজিপি,84.61538462,2.0
20044896,2268,শীর্ষ ধনীর তালিকায় প্রথমে উঠে এলেন জেফ বেজোস,84.61538462,2.0
20044895,2268,গ্রুপ পর্ব থাকছে না চ্যাম্পিয়নস লীগের নতুন ফরম্যাটে,84.61538462,2.0
20044894,2268,চিকিৎসকদের ঢাকার বাইরে যেতে হবে: স্বাস্থ্যমন্ত্রী,84.61538462,2.0
20044893,2268,শিক্ষামন্ত্রীর বক্তব্য উদ্দেশ্যপ্রণোদিত: খেলাফত মজলিস,84.61538462,2.0
20044892,2268,টেকসই পোশাক খাতের জন্য পরিবেশবান্ধব উদ্যোগ প্রয়োজন,84.61538462,2.0
20044891,2268,মুক্তিযোদ্ধাদেরকেও নির্যাতন থেকে রেহাই দেয়া হচ্ছে না: ফখরুল,84.61538462,2.0
20044890,2268,"এসআরএফবি’র সভাপতি ফারুক, সম্পাদক আফরিন জাহান",84.61538462,2.0
20044889,2268,শিক্ষানুরাগী বাবর মিয়া আর নেই,84.61538462,2.0
20044888,2268,ছোট ভুলে সারা দেশে কর্মকর্তারা যেন বিব্রত না হন,84.61538462,2.0
20044887,2268,ফেসবুক-ইনস্টাগ্রাম কাজ করছে না,84.61538462,2.0
20044886,2268,"নির্বাচনী ফলাফল কোথাও কোথাও পূর্বনির্ধারিত ছিলো, শিট বানিয়ে দেয়া হয়: জিএম কাদের",84.61538462,2.0
20046171,2268,সাংবাদিক মাসউদকে হত্যার ঘটনায় ১৩ জনকে আসামি করে মামলা,84.61538462,2.0
20044885,2268,দেশে-বিদেশে কোন নালিশ করে লাভ হবে না: সংসদে প্রধানমন্ত্রী,84.61538462,2.0
20046139,2268,"দিল্লিতে পালিত হবে পাকিস্তানের জাতীয় দিবস, নানা জল্পনা",84.61538462,2.0
20046125,2268,মাঠে ফিরে আবার ‘মেসি-মেসি’ স্লোগান শুনলেন রোনালদো,84.61538462,2.0
20046162,2268,সড়ক দুর্ঘটনায় ক্ষতিগ্রস্তদের ৯ কোটি ৪৪ লাখ টাকা সহায়তা : সংসদে মন্ত্রী,84.61538462,2.0
20046155,2268,ঘুরে দাঁড়াতে পারছে না বিএনপি’র ঢাকার দুই মহানগর,84.61538462,2.0
20046170,2268,৯০ মিনিটের ‘শো’ দেখাতে প্রস্তুত বায়ার্ন,84.61538462,2.0
20046169,2268,কুমিল্লা সিটির উপনির্বাচনে ত্রিমুখী লড়াই,84.61538462,2.0
20046141,2268,"এস আলম সুগার মিলে আগুন, তদন্ত কমিটি গঠন",84.61538462,2.0
20046168,2268,"ভারতের বিপক্ষে ম্যাচ আজ, অনিশ্চিত সুরভী",84.61538462,2.0
20046167,2268,সিলেট স্টেডিয়ামের দুঃখ ‘গ্রিন গ্যালারি’,84.61538462,2.0
20046166,2268,নারায়ণগঞ্জে দুটি মুড়ি ফ্যাক্টরিকে ৫ লাখ টাকা জরিমানা,84.61538462,2.0
20046165,2268,"কারামুক্ত বিএনপি’র মজনু, যুবদলের জাহাঙ্গীর",84.61538462,2.0
20046164,2268,রমজানে পণ্যের দাম ঊর্ধ্বমুখী হওয়ার সুযোগ নেই,84.61538462,2.0
20046163,2268,প্রধানমন্ত্রী দেশের স্বাস্থ্য খাতে দৃশ্যমান উন্নতি করতে চান- স্বাস্থ্যমন্ত্রী,84.61538462,2.0
