id,title,category1,T5_rank,T5_S_scale,T5_S_score
20046901,ওআইসি সম্মেলন: গাজা সঙ্কটের অবসানে সম্ভাব্য বিকল্প খোঁজার আহ্বান পররাষ্ট্রমন্ত্রীর,রাজনীতি,1,1.0,100.0
20175895,"

ফিলিস্তিন রাষ্ট্রকে স্বীকৃতি দেয়ার সময় এসেছে : সৌদি আরব
",রাজনীতি,1,1.0,100.0
20175916,"

বুড়িমারী স্থলবন্দরে শ্রমিকদের মধ্যে অসন্তোষ, গ্রেফতার ৩
",রাজনীতি,1,1.0,100.0
20175920,"

দ্রব্যমূল্য, গুজব আর মাদকসহ আরো যা যা উঠে এলো ডিসি সম্মেলনে
",রাজনীতি,1,1.0,100.0
20175930,"

সৌদি প্রবাসীদেরকে বৈধ পথে রেমিটেন্স পাঠাতে পররাষ্ট্রমন্ত্রীর আহ্বান
",রাজনীতি,1,1.0,100.0
20175933,"

জাতিসঙ্ঘের আনা যৌন সহিংসতার অভিযোগ প্রত্যাখ্যান করল হামাস
",রাজনীতি,1,1.0,100.0
20046306,মৌলভীবাজারে ছাত্রদলের মিছিল,রাজনীতি,1,1.0,100.0
20046305,"নেতাদের উস্কানিতে ব্রাহ্মণবাড়িয়ায় দু’দিন ধরে সংঘর্ষ, আহত ৫০",রাজনীতি,1,1.0,100.0
20175976,"

গরিব খাবে বরই আর বিত্তশালীরা খেজুর, এটা অবিচার : কাদের সিদ্দিকী
",রাজনীতি,1,1.0,100.0
20046298,মেয়ের পক্ষে প্রচারণায় অংশ না নিতে এমপি বাহারকে চিঠি,রাজনীতি,1,1.0,100.0
20175985,"

মাত্র ২৪ মিনিটে দ্রুত বিচার আইন পাশ করে সরকার কুনজির স্থাপন করেছে : মুজিবুর রহমান
",রাজনীতি,1,1.0,100.0
20175991,"

অগ্নি নিরাপত্তা নিশ্চিত করতে সরকার সর্বাত্মকভাবে কাজ করছে : সাঈদ খোকন
",রাজনীতি,1,1.0,100.0
20046288,মুন্সীগঞ্জে প্রতিপক্ষের মারপিটে যুবকের মৃত্যুর অভিযোগ,রাজনীতি,1,1.0,100.0
20175886,"

সব প্রমাণ থাকা সত্ত্বেও তক্বী হত্যার বিচার হচ্ছে না : আইভী
",রাজনীতি,1,1.0,100.0
20174980,"

রাজধানীর খালগুলো সংস্কার ও অবৈধ দখলমুক্ত করার কার্যক্রম চলছে : এলজিআরডি মন্ত্রী
",রাজনীতি,1,1.0,100.0
20046283,সিলেটে ডেমোক্রেসি ইন্টারন্যাশনালের আলোচনা সভা,রাজনীতি,1,1.0,100.0
20046280,"জগন্নাথপুরে সেতুর সংযোগ সড়কে ধস, যান চলাচল বন্ধ",রাজনীতি,1,1.0,100.0
20046279,"কলাপাড়া সাংবাদিক ফোরামের সভাপতি কাওছার, সম্পাদক আলমগীর",রাজনীতি,1,1.0,100.0
20176011,"

মনপুরায় ইউপি নির্বাচন : প্রার্থীদের সমর্থকদের সংঘর্ষে আহত অর্ধশতাধিক
",রাজনীতি,1,1.0,100.0
20046277,শিবগঞ্জে সড়ক দুর্ঘটনায় বৃদ্ধার মৃত্যু,রাজনীতি,1,1.0,100.0
20175004,"

অনিবন্ধিত অনলাইন পোর্টালকে শৃঙ্খলার মধ্যে আনা হবে : তথ্য প্রতিমন্ত্রী
",রাজনীতি,1,1.0,100.0
20046272,ফের কুড়িগ্রাম প্রেস ক্লাবের সভাপতি রাজু সম্পাদক ফারুক,রাজনীতি,1,1.0,100.0
20046271,বান্দরবানে ফের শান্তি প্রতিষ্ঠা কমিটির সঙ্গে কেএনএফ’র বৈঠক,রাজনীতি,1,1.0,100.0
20046270,৯ই মার্চ হবিগঞ্জ জেলা পরিষদ উপনির্বাচন,রাজনীতি,1,1.0,100.0
20046266,টেবিল ঘড়ির গণজোয়ার ঠেকাতে মরিয়া প্রতিপক্ষ প্রার্থীর সমর্থকরা: সাক্কু,রাজনীতি,1,1.0,100.0
20176063,"

প্রান্তিক জনগোষ্ঠীর স্বাস্থ্যসেবা নিশ্চিত করতে সরকার কাজ করছে : স্বাস্থ্যমন্ত্রী
",রাজনীতি,1,1.0,100.0
20046262,দ্রব্যমূল্য সহনীয় রাখতে ডিসিদের বাজার তদারকি করতে বললেন স্বরাষ্ট্রমন্ত্রী,রাজনীতি,1,1.0,100.0
20174989,"
	মহানগরী ও জেলা আমির সম্মেলনে অধ্যাপক মুজিব 
প্রহসনের নির্বাচনে গঠিত সংসদ বাতিল করতে হবে
",রাজনীতি,1,1.0,100.0
20046894,‘গ্যাস-বিদ্যুতের মূল্যবৃদ্ধি মড়ার উপর খাঁড়ার ঘা’,রাজনীতি,1,1.0,100.0
20174886,"

 সম্রাটের বিরুদ্ধে অভিযোগ গঠনের শুনানি ২১ এপ্রিল
",রাজনীতি,1,1.0,100.0
20046900,কোনো শক্তি দ্বারা পরিচালিত হতে চাই না: আনোয়ার ইব্রাহিম,রাজনীতি,1,1.0,100.0
20174751,"

বিদেশীদের কাছে নালিশ করে কোনো লাভ হবে না : প্রধানমন্ত্রী
",রাজনীতি,1,1.0,100.0
20175416,"

রমজানে খাদ্যসামগ্রীর দাম কমিয়ে জনগণের কাছে পৌঁছানোর ব্যবস্থা করুন : আব্দুস সবুর ফকির
",রাজনীতি,1,1.0,100.0
20175448,"

স্বাস্থ্য পরীক্ষার জন্য দুবাই থেকে লন্ডনে পৌঁছেছেন রাষ্ট্রপতি
",রাজনীতি,1,1.0,100.0
